household_id,household_weight,household_size,number_of_vehicles,number_of_bikes,departement_id,income_class,consumption_units,commune_id,zone_fine_id
109,53.82657,1,1,1,59,0,1.0,59350,00101802
110,41.84241,2,2,0,59,0,1.5,59350,00101802
111,66.79166,1,0,0,59,0,1.0,59350,00101802
112,66.79166,1,0,0,59,0,1.0,59350,00101802
113,66.79166,1,0,0,59,0,1.0,59350,00101802
114,82.07269000000001,1,0,0,59,0,1.0,59350,00102002
115,82.07269000000001,1,0,0,59,0,1.0,59350,00102002
116,82.07269000000001,1,0,0,59,0,1.0,59350,00102002
117,82.07269000000001,1,2,0,59,0,1.0,59350,00102002
118,102.896,2,1,1,59,0,1.5,59350,00102003
119,82.07269000000001,1,1,1,59,0,1.0,59350,00102003
120,102.896,2,0,0,59,0,1.5,59350,00102003
121,82.07269000000001,1,0,0,59,0,1.0,59350,00102003
122,82.07269000000001,1,0,0,59,0,1.0,59350,00102003
124,82.07269000000001,1,1,1,59,0,1.0,59350,00102004
125,82.07269000000001,1,1,0,59,0,1.0,59350,00102004
126,80.12179,3,2,4,59,0,1.8,59350,00102004
127,102.896,2,1,0,59,0,1.5,59350,00102004
128,102.896,2,0,0,59,0,1.5,59350,00102004
129,112.8955,4,1,6,59,0,2.1,59350,00102004
130,82.07269000000001,1,0,1,59,0,1.0,59350,00102004
132,82.07269000000001,1,1,0,59,0,1.0,59350,00102004
133,82.07269000000001,1,1,0,59,0,1.0,59350,00102004
134,82.07269000000001,1,0,0,59,0,1.0,59350,00102004
135,82.07269000000001,1,0,0,59,0,1.0,59350,00102004
136,82.07269000000001,1,0,0,59,0,1.0,59350,00102004
137,102.896,2,0,0,59,0,1.5,59350,00102005
138,112.8955,4,1,2,59,0,2.1,59350,00102005
139,112.8955,4,2,4,59,0,2.3,59350,00102005
140,82.07269000000001,1,1,0,59,0,1.0,59350,00102005
141,82.07269000000001,1,0,0,59,0,1.0,59350,00102005
142,102.896,2,3,0,59,0,1.5,59350,00102005
143,82.07269000000001,1,0,0,59,0,1.0,59350,00102005
144,82.07269000000001,1,0,0,59,0,1.0,59350,00102005
145,82.07269000000001,1,0,0,59,0,1.0,59350,00102005
146,82.07269000000001,1,0,0,59,0,1.0,59350,00102005
147,82.07269000000001,1,0,0,59,0,1.0,59350,00102005
148,82.07269000000001,1,0,0,59,0,1.0,59350,00102006
149,82.07269000000001,1,0,0,59,0,1.0,59350,00102006
151,82.07269000000001,1,0,0,59,0,1.0,59350,00102006
152,82.07269000000001,1,1,0,59,0,1.0,59350,00102006
154,82.07269000000001,1,1,1,59,0,1.0,59350,00102006
155,82.07269000000001,1,1,0,59,0,1.0,59350,00102006
156,102.896,2,1,1,59,0,1.5,59350,00102006
157,82.07269000000001,1,0,0,59,0,1.0,59350,00102006
158,82.07269000000001,1,0,0,59,0,1.0,59350,00102006
159,82.07269000000001,1,0,0,59,0,1.0,59350,00102006
160,82.07269000000001,1,1,0,59,0,1.0,59350,00102007
161,82.07269000000001,1,0,0,59,0,1.0,59350,00102007
162,82.07269000000001,1,0,0,59,0,1.0,59350,00102007
163,102.896,2,2,2,59,0,1.5,59350,00102007
164,82.07269000000001,1,0,0,59,0,1.0,59350,00102007
165,82.07269000000001,1,0,0,59,0,1.0,59350,00102007
166,82.07269000000001,1,0,0,59,0,1.0,59350,00102007
167,82.07269000000001,1,0,0,59,0,1.0,59350,00102007
168,80.12179,3,1,2,59,0,1.6,59350,00102007
169,82.07269000000001,1,1,0,59,0,1.0,59350,00102007
170,82.07269000000001,1,1,1,59,0,1.0,59350,00102007
171,102.896,2,2,0,59,0,1.5,59350,00102007
172,102.896,2,1,0,59,0,1.5,59350,00102007
173,82.07269000000001,1,1,0,59,0,1.0,59350,00102007
174,82.07269000000001,1,0,1,59,0,1.0,59350,00102008
176,102.896,2,1,0,59,0,1.5,59350,00102008
177,82.07269000000001,1,0,0,59,0,1.0,59350,00102008
178,82.07269000000001,1,1,1,59,0,1.0,59350,00102008
179,102.896,2,1,1,59,0,1.5,59350,00102008
180,82.07269000000001,1,0,0,59,0,1.0,59350,00102008
181,66.79166,1,0,0,59,0,1.0,59350,00102008
182,102.896,2,1,0,59,0,1.5,59350,00102009
183,82.07269000000001,1,0,0,59,0,1.0,59350,00102009
184,112.8955,4,2,2,59,0,2.1,59350,00102009
185,82.07269000000001,1,1,0,59,0,1.0,59350,00102009
186,82.07269000000001,1,0,0,59,0,1.0,59350,00102009
187,82.07269000000001,1,1,0,59,0,1.0,59350,00102009
189,102.896,2,0,0,59,0,1.5,59350,00102009
190,82.07269000000001,1,1,0,59,0,1.0,59350,00102009
192,102.896,2,1,0,59,0,1.5,59350,00102010
193,82.07269000000001,1,0,1,59,0,1.0,59350,00102010
194,80.12179,3,0,0,59,0,1.8,59350,00102010
195,82.07269000000001,1,1,2,59,0,1.0,59350,00102010
196,82.07269000000001,1,1,0,59,0,1.0,59350,00102010
197,112.8955,4,1,0,59,0,2.1,59350,00102011
198,102.896,2,1,1,59,0,1.3,59350,00102011
199,82.07269000000001,1,0,0,59,0,1.0,59350,00102011
200,82.07269000000001,1,0,0,59,0,1.0,59350,00102011
201,102.896,2,1,5,59,0,1.5,59350,00102011
202,82.07269000000001,1,0,0,59,0,1.0,59350,00102011
203,82.07269000000001,1,1,0,59,0,1.0,59350,00102011
204,82.07269000000001,1,0,0,59,0,1.0,59350,00102011
205,80.12179,3,1,1,59,0,2.0,59350,00102014
206,82.07269000000001,1,0,0,59,0,1.0,59350,00102014
207,82.07269000000001,1,0,0,59,0,1.0,59350,00102014
208,102.896,2,1,0,59,0,1.5,59350,00102014
209,112.8955,5,1,1,59,0,2.6,59350,00102014
210,82.07269000000001,1,0,0,59,0,1.0,59350,00102014
211,102.896,2,2,0,59,0,1.5,59350,00102014
212,66.79166,1,0,0,59,0,1.0,59350,00102014
213,102.896,2,1,2,59,0,1.5,59350,00102014
214,82.07269000000001,1,0,0,59,0,1.0,59350,00102014
215,82.07269000000001,1,0,1,59,0,1.0,59350,00102017
216,102.896,2,1,0,59,0,1.5,59350,00102301
217,102.896,2,0,0,59,0,1.5,59350,00102801
218,80.12179,3,0,1,59,0,1.8,59350,00102801
220,80.12179,3,0,0,59,0,1.8,59350,00102801
221,80.12179,3,2,2,59,0,1.8,59350,00102801
222,80.12179,3,2,0,59,0,1.8,59350,00102801
223,80.12179,3,1,3,59,0,1.8,59350,00102801
224,102.896,2,1,0,59,0,1.5,59350,00102801
225,110.3007,2,1,2,59,0,1.5,59350,00103001
226,161.6591,1,0,0,59,0,1.0,59350,00103002
227,82.15898,3,1,3,59,0,1.6,59350,00103002
228,110.3007,2,2,1,59,0,1.5,59350,00103002
229,110.3007,2,1,2,59,0,1.5,59350,00103003
230,161.6591,1,1,0,59,0,1.0,59350,00103003
231,161.6591,1,1,0,59,0,1.0,59350,00103003
232,110.3007,2,1,1,59,0,1.5,59350,00103003
233,161.6591,1,0,0,59,0,1.0,59350,00103003
234,110.3007,2,1,1,59,0,1.5,59350,00103003
235,161.6591,1,1,0,59,0,1.0,59350,00103004
236,161.6591,1,1,0,59,0,1.0,59350,00103004
237,82.15898,3,1,0,59,0,1.8,59350,00103005
238,82.15898,3,0,0,59,0,2.0,59350,00103005
239,161.6591,1,1,0,59,0,1.0,59350,00103005
240,161.6591,1,0,1,59,0,1.0,59350,00103005
241,161.6591,1,0,1,59,0,1.0,59350,00103006
242,82.15898,3,1,0,59,0,1.8,59350,00103007
243,110.3007,2,1,2,59,0,1.5,59350,00103007
244,161.6591,1,1,0,59,0,1.0,59350,00103007
245,161.6591,1,0,1,59,0,1.0,59350,00103007
