TP1;TP2;ECH;PER;NDEP;T1;T2;T3;T4;T5;T6;T7;T8;T8B;T8C;T9;T10;T11;TOIS;TDIS;TDIP;TDMO;TDMD;TFIN
4;1010;0112;02;02;1;02;21;9621;1350;00;2;1;0;0;1;2;00;76856;96991;897;133;0;0
4;1010;0112;02;03;1;00;21;1350;1010;02;2;1;0;0;1;3;00;14870;23685;20411;0;133;0
4;1010;0112;04;01;1;03;33;1025;1035;01;;;;;;;;1791;2686;2686;200;67;0
4;1010;0112;04;02;1;01;33;1035;1025;07;;;;;;;;1122;1684;1684;67;467;0
4;1010;0112;06;01;1;00;22;1010;1020;00;;;;;;;;804;1433;1433;0;0;0
4;1010;0112;06;02;1;00;22;1020;1090;00;;;;;;;;1943;3689;3689;0;0;0
4;1010;0112;06;03;1;01;22;1090;1010;00;;;;;;;;2645;3716;3716;67;0;0
4;1010;0159;01;01;1;03;33;1025;1125;03;;;;;;;;3975;5963;5963;200;200;0
4;1010;0159;01;04;1;03;33;1125;1025;03;;;;;;;;3975;5963;5963;200;200;0
4;1010;0159;01;05;1;03;33;1025;1035;01;;;;;;;;839;1259;1259;200;67;0
4;1010;0159;01;05;2;01;21;1030;1090;01;1;1;0;0;2;2;01;2139;3046;3046;67;67;0
4;1010;0159;01;06;1;01;21;1090;1010;01;1;1;0;0;2;2;02;2645;3716;3716;67;67;0
4;1010;0159;02;01;1;05;51;1015;8756;05;;;;;;;;201881;302822;20256;333;333;0
4;1010;0159;02;02;1;05;39;8756;9750;04;;;;;;;;5372;8058;0;333;267;0
4;1010;0159;03;01;1;00;11;1010;1015;00;0;1;0;0;6;;00;656;1022;1022;0;0;0
4;1010;0159;03;01;2;00;51;1015;9620;00;;;;;;;;43833;65749;18192;0;0;0
4;1010;0159;03;01;3;00;11;9620;9620;00;0;1;0;0;1;2;00;955;1719;0;0;0;0
4;1010;0159;03;02;1;00;11;9620;9620;00;0;1;0;0;6;;00;955;1719;0;0;0;0
4;1010;0159;03;02;2;00;51;9620;1015;00;;;;;;;;43833;65749;18591;0;0;0
4;1010;0159;03;02;3;00;11;1015;1010;00;0;1;0;0;1;2;00;656;1022;1022;0;0;0
4;1010;0159;03;03;1;00;11;1010;1051;00;0;1;0;0;3;2;00;677;808;808;0;0;0
4;1010;0159;03;04;1;00;11;1051;1010;00;0;1;0;0;1;2;00;677;808;808;0;0;0
4;1010;0159;03;07;1;00;11;1010;1030;00;0;1;0;0;2;2;00;1063;1417;1417;0;0;0
4;1010;0159;03;08;1;00;11;1030;1020;00;0;1;0;0;2;2;00;510;1532;1532;0;0;0
4;1010;0159;03;09;1;00;11;1020;1010;00;0;1;0;0;1;2;00;766;1453;1453;0;0;0
4;1010;0024;01;03;1;02;22;1010;1010;02;;;;;;;;458;715;715;133;133;0
4;1010;0024;01;04;1;02;22;1010;1010;00;;;;;;;;458;1000;1000;133;0;0
4;1010;0025;01;05;1;01;22;1010;1030;00;;;;;;;;1276;1521;1521;67;0;0
4;1010;0025;01;06;1;00;22;1030;1010;01;;;;;;;;1276;1470;1470;0;67;0
4;1010;0120;01;01;1;02;21;1010;1500;03;1;1;0;0;2;2;02;8866;11311;11311;133;200;0
4;1010;0120;01;02;1;03;21;1500;1561;01;1;1;0;0;3;2;00;1378;2037;2037;200;67;0
4;1010;0120;01;03;1;01;21;1561;1500;03;1;1;0;0;2;2;01;1378;1908;1908;67;200;0
4;1010;0120;01;04;1;03;21;1500;1010;05;1;1;0;0;2;3;02;8866;19244;19244;200;333;0
4;1010;0041;01;01;1;03;10;1010;1010;00;0;1;0;0;2;2;00;216;314;314;200;0;0
4;1010;0041;01;02;1;00;10;1010;1010;03;0;1;0;0;1;2;00;216;314;314;0;200;0
4;1010;0042;01;01;1;00;21;1010;9596;03;1;1;0;0;3;2;03;45238;52991;14440;0;200;0
4;1010;0042;01;02;1;03;21;9596;1010;00;1;2;1;0;0;;00;44736;52216;14537;200;0;0
4;1010;0042;01;03;1;00;21;1010;1010;00;1;1;0;0;1;3;00;525;868;868;0;0;0
4;1010;0066;01;02;1;02;31;1060;1010;01;;;;;;;;614;920;920;133;67;0
4;1010;0066;01;02;2;01;33;1015;1255;00;;;;;;;;6343;9514;9514;67;0;0
4;1010;0066;01;02;3;00;22;1253;1248;00;;;;;;;;791;2322;2322;0;0;0
4;1010;0066;01;04;1;00;22;1248;1250;00;;;;;;;;1364;2353;2353;0;0;0
4;1010;0066;01;05;1;00;22;1250;1248;00;;;;;;;;1364;2304;2304;0;0;0
4;1010;0066;01;06;1;00;22;1248;1253;00;;;;;;;;791;2378;2378;0;0;0
4;1010;0066;01;06;2;00;33;1255;1015;03;;;;;;;;6343;9514;9514;0;200;0
4;1010;0131;02;04;1;15;51;1015;8756;00;;;;;;;;201881;302822;20256;1000;0;0
4;1010;0131;02;04;2;00;39;8756;8756;03;;;;;;;;5399;8099;0;0;200;0
4;1010;0131;02;08;1;27;51;8756;1015;15;;;;;;;;201881;302822;20986;1800;1000;0
4;1010;0001;01;01;1;01;22;9990;1010;01;;;;;;;;744858;895958;14363;67;67;0
4;1010;0001;01;02;1;01;22;1010;1240;02;;;;;;;;5860;12439;12439;67;133;0
4;1010;0001;01;03;1;02;22;1240;1010;01;;;;;;;;5860;12450;12450;133;67;0
4;1010;0029;01;01;1;07;33;1025;1095;04;;;;;;;;1436;2154;2154;467;267;0
4;1010;0029;01;02;1;04;33;1095;1025;07;;;;;;;;1436;2154;2154;267;467;0
4;1010;0048;01;01;1;03;33;1015;1255;02;;;;;;;;6343;9514;9514;200;133;0
4;1010;0048;01;02;1;02;33;1255;1255;04;;;;;;;;2215;3322;3322;133;267;0
4;1010;0048;01;03;1;04;33;1255;1015;00;;;;;;;;4319;6479;6479;267;0;0
4;1010;0051;01;01;1;15;51;9620;1015;05;;;;;;;;43833;65749;18591;1000;333;0
4;1010;0110;01;01;1;08;33;1015;1095;03;;;;;;;;2068;3102;3102;533;200;0
4;1010;0110;01;02;1;03;33;1095;1015;08;;;;;;;;2068;3102;3102;200;533;0
4;1010;0015;01;01;1;00;21;9625;9621;00;1;2;1;0;0;;00;4976;5625;0;0;0;0
4;1010;0015;01;02;1;00;21;9621;9621;00;1;1;0;0;3;2;00;1003;1805;0;0;0;0
4;1010;0015;01;03;1;00;21;9621;9625;00;1;1;0;0;1;2;00;4976;5667;0;0;0;0
4;1010;0015;01;04;1;00;21;9625;9621;00;1;1;0;0;3;2;00;4976;5625;0;0;0;0
4;1010;0015;01;05;1;00;21;9621;9625;00;1;1;0;0;1;2;00;4976;5667;0;0;0;0
4;1010;0015;01;06;1;00;21;9625;1010;02;1;1;0;0;2;2;05;29448;40292;26582;0;133;0
4;1010;0015;01;07;1;02;21;1010;1254;00;1;1;0;0;3;2;00;4404;8738;8738;133;0;0
4;1010;0015;01;08;1;00;21;1254;1010;01;1;1;0;0;2;2;01;4404;8594;8594;0;67;0
4;1010;0075;01;01;1;05;33;1015;1095;10;;;;;;;;2068;3102;3102;333;667;0
4;1010;0075;01;02;1;10;33;1095;1015;01;;;;;;;;2068;3102;3102;667;67;0
4;1010;0078;01;01;1;03;33;1025;1045;04;;;;;;;;2273;3410;3410;200;267;0
4;1010;0078;01;02;1;02;33;1045;1025;03;;;;;;;;2273;3410;3410;133;200;0
4;1010;0078;01;04;1;01;33;1015;1475;01;;;;;;;;9746;14619;14619;67;67;0
4;1010;0078;01;05;1;01;33;1475;1015;01;;;;;;;;9746;14619;14619;67;67;0
4;1010;0085;01;01;1;00;21;1010;1081;00;1;1;0;0;3;2;00;1867;2710;2710;0;0;0
4;1010;0085;01;02;1;00;21;1081;1010;00;1;1;0;0;1;2;00;1867;3586;3586;0;0;0
4;1010;0085;02;02;1;02;33;1025;1575;00;;;;;;;;5445;8168;8168;133;0;0
4;1010;0085;02;02;2;00;32;1575;1235;10;;;;;;;;1077;1615;1615;0;667;0
4;1010;0085;02;03;1;05;32;1235;1575;00;;;;;;;;1077;1615;1615;333;0;0
4;1010;0085;02;03;2;00;33;1575;1015;02;;;;;;;;5168;7752;7752;0;133;0
4;1010;0127;02;01;1;00;21;1010;9595;00;1;1;0;0;3;2;00;32527;42423;13954;0;0;0
4;1010;0127;02;02;1;00;21;9595;1010;00;1;1;0;0;1;2;00;32527;43284;13961;0;0;0
4;1010;0130;02;01;1;05;10;1015;1060;00;0;1;0;0;1;2;00;1221;1571;1571;333;0;0
4;1010;0130;02;02;1;00;10;1060;1080;00;0;1;0;0;2;2;00;2904;3726;3726;0;0;0
4;1010;0130;02;03;1;00;10;1080;1015;05;0;1;0;0;2;2;00;1793;2892;2892;0;333;0
4;1010;0145;01;01;1;00;21;9594;1010;00;1;1;0;0;3;2;00;46300;63340;13961;0;0;0
4;1010;0145;01;10;1;00;21;1010;9594;00;1;1;0;0;3;2;00;46300;63682;13954;0;0;0
4;1010;0153;01;01;1;02;33;1025;1015;00;;;;;;;;420;630;630;133;0;0
4;1010;0153;01;01;2;00;33;1015;1255;03;;;;;;;;5768;8652;8652;0;200;0
4;1010;0153;01;02;1;03;33;1255;1015;00;;;;;;;;5768;8652;8652;200;0;0
4;1010;0153;01;02;2;00;33;1015;1025;02;;;;;;;;420;630;630;0;133;0
4;1010;0014;01;08;1;00;22;1010;1050;01;;;;;;;;1204;2038;2038;0;67;0
4;1010;0014;01;09;1;01;22;1050;1020;00;;;;;;;;1201;1901;1901;67;0;0
4;1010;0014;01;10;1;00;22;1020;1010;00;;;;;;;;422;638;638;0;0;0
4;1010;0067;01;03;1;01;21;1010;9595;00;1;1;0;0;2;2;00;34209;38716;13138;67;0;0
4;1010;0067;01;04;1;00;21;9595;1010;01;1;1;0;0;1;2;00;34209;39723;14114;0;67;0
4;1010;0082;01;01;1;04;51;1015;1515;07;;;;;;;;9263;13894;13894;267;467;0
4;1010;0082;01;04;1;07;51;1515;1015;04;;;;;;;;9263;13894;13894;467;267;0
4;1010;0082;02;01;1;04;51;1015;1515;07;;;;;;;;9263;13894;13894;267;467;0
4;1010;0082;02;04;1;07;33;1515;1015;04;;;;;;;;9263;13894;13894;467;267;0
4;1010;0149;02;01;1;07;51;1015;3036;05;;;;;;;;20272;30408;19060;467;333;0
4;1010;0149;02;02;1;05;51;3036;1015;07;;;;;;;;20272;30408;19686;333;467;0
4;1010;0156;01;01;1;01;22;1010;9990;02;;;;;;;;230289;282058;19039;67;133;0
4;1010;0156;01;02;1;02;22;9990;5210;03;;;;;;;;171554;210356;0;133;200;0
4;1010;0156;01;03;1;03;22;5210;1010;01;;;;;;;;93452;112704;16457;200;67;0
4;1010;0008;01;01;1;03;33;1015;1235;01;;;;;;;;5122;7683;7683;200;67;0
4;1010;0008;01;01;2;01;31;1230;1238;00;;;;;;;;1444;2166;2166;67;0;0
4;1010;0008;01;02;1;00;22;1238;1550;00;;;;;;;;2439;3344;3344;0;0;0
4;1010;0008;01;03;1;00;22;1550;1238;00;;;;;;;;2439;4242;4242;0;0;0
4;1010;0008;01;04;1;00;31;1238;1230;05;;;;;;;;1444;2166;2166;0;333;0
4;1010;0008;01;04;2;05;32;1575;1015;05;;;;;;;;5168;7752;7752;333;333;0
4;1010;0021;01;01;1;05;31;1015;1190;05;;;;;;;;3044;4566;4566;333;333;0
4;1010;0021;01;02;1;05;31;1190;1015;05;;;;;;;;3044;4566;4566;333;333;0
4;1010;0023;01;01;1;05;33;1015;1255;15;;;;;;;;5938;8907;8907;333;1000;0
4;1010;0023;01;02;1;15;33;1255;1015;05;;;;;;;;5938;8907;8907;1000;333;0
4;1010;0032;02;01;1;04;33;1015;1025;05;;;;;;;;420;630;630;267;333;0
4;1010;0032;02;02;1;05;33;1025;1015;04;;;;;;;;420;630;630;333;267;0
4;1010;0039;01;02;1;05;33;1015;1255;07;;;;;;;;4655;6982;6982;333;467;0
4;1010;0039;01;05;1;07;33;1255;1015;05;;;;;;;;4655;6982;6982;467;333;0
