OP1;OP2;ECH;PER;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;O11;O12;O13;O14;O15;O16;O17;O18;O50;O51;O52;O53;O34;O35;O36;O40A;O40B;O40C;O41A;O41B;O41C;O42A;O42B;O42C;COEO;OR1;OR2A;OR2B;OR3;OR4;OR5A;OR5B;OR5C;OR5D;O43A;O43B;O43C;OFIN
5;1010;0131;03;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;9;2;1;2;2;1;1;1;18;14;24;16;01;04;03;04;18;94.99391;;1;0;2;1;3;1;1;1;11;17;12;0
5;1010;0160;01;1;1;1;1;1;1;1;7;1;1;1;1;1;1;1;1;1;2;2;1;2;2;1;1;1;24;28;06;14;03;02;03;14;;56.00916;;2;0;4;;1;1;1;1;11;17;15;0
5;1010;0083;01;1;1;1;1;1;1;1;1;1;2;1;2;2;1;2;1;1;1;1;1;2;2;1;1;1;34;24;28;03;01;10;07;03;11;62.43746;3;1;0;4;;0;0;0;0;01;11;05;0
5;1010;0001;01;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;1;6;1;1;1;2;2;1;1;03;22;06;34;28;35;21;37;07;46.63153;;1;2;2;2;0;0;0;0;17;29;27;0
5;1010;0029;01;1;1;1;1;1;2;1;1;2;1;1;1;2;1;1;2;2;6;2;1;2;1;2;1;2;01;24;28;03;18;;18;33;25;62.43746;3;1;2;4;;0;0;0;0;03;21;17;0
5;1010;0048;01;1;1;1;1;1;1;1;1;1;2;1;1;2;1;1;1;1;9;2;2;2;2;1;1;3;24;22;03;03;01;;17;04;27;75.83750;2;1;0;3;1;2;2;2;2;03;04;10;0
5;1010;0051;01;1;1;1;1;1;1;1;6;1;1;1;1;1;1;1;1;1;1;1;1;2;3;3;3;3;23;22;;03;01;;03;25;;72.49861;;1;0;4;;3;1;2;2;03;04;21;0
5;1010;0110;01;1;1;1;1;1;1;1;7;1;1;1;1;1;1;1;1;1;7;2;3;1;2;1;1;1;09;05;10;01;32;34;21;29;33;62.43746;2;1;2;4;;0;0;0;0;23;35;37;0
5;1010;0013;01;1;1;1;1;1;1;1;7;2;2;1;2;1;1;1;1;1;6;2;1;2;2;1;1;1;24;03;02;22;03;13;03;04;02;46.63153;;2;0;2;2;2;2;1;1;21;29;13;0
5;1010;0015;01;1;1;1;1;1;1;1;5;1;2;1;2;2;1;1;1;1;8;1;1;2;1;1;1;2;22;06;03;02;31;01;17;02;14;62.43746;1;1;0;1;2;3;1;2;2;13;04;12;0
5;1010;0075;01;1;1;1;1;1;1;1;2;1;2;1;2;2;1;1;1;1;7;1;1;2;2;1;1;1;24;36;28;03;35;04;04;18;08;62.43746;2;1;0;4;;2;2;2;1;17;04;08;0
5;1010;0078;01;1;1;1;1;1;1;1;6;1;2;1;2;2;1;2;2;1;6;1;1;2;1;2;2;2;06;17;11;31;35;34;11;23;04;62.43746;1;1;0;4;;0;0;0;0;11;17;03;0
5;1010;0085;02;1;1;1;1;1;1;2;2;2;1;1;1;2;1;1;2;2;2;2;1;2;1;1;2;3;03;07;02;02;11;18;11;15;;63.32927;2;1;2;4;;2;2;2;2;21;27;03;0
5;1010;0127;02;1;1;1;1;1;1;1;2;1;2;1;2;2;2;1;1;2;8;2;2;2;2;2;2;2;03;10;13;26;21;02;29;25;23;87.07813;2;3;;4;;3;3;2;2;17;12;23;0
5;1010;0130;01;1;1;1;1;2;2;1;4;1;2;1;3;2;1;1;1;1;9;2;1;2;2;1;1;2;22;27;10;35;25;31;03;25;31;132.1088;;1;0;4;;2;1;2;2;11;07;;0
5;1010;0132;01;1;1;1;3;1;1;1;6;1;2;1;1;3;1;3;3;2;4;1;1;2;2;1;1;1;24;22;25;03;02;38;25;04;03;72.49861;2;2;1;4;;2;1;2;1;17;09;12;0
5;1010;0145;01;1;1;1;1;1;1;1;1;1;1;2;1;2;1;1;1;1;6;2;1;2;2;1;1;1;30;24;22;13;38;04;03;38;;46.63153;1;1;0;2;1;2;1;3;1;17;38;33;0
