commune_id,iris_id,geometry,departement_id
59650,596500603,"POLYGON ((716950.1 7067725.1, 716936.5 7067717.7, 716845.5 7067653.1, 716830.3 7067642, 716781 7067588.95, 716705.6 7067401, 716703.4 7067399.2, 716702.5 7067398.7, 716521.2 7067550.15, 716219.8 7067727.9, 716217.5 7067731.8, 716219.2 7067733, 716280.3999999999 7067773.575, 716324.3 7067804.9, 716325.5 7067805.8, 716365.2 7067835.8, 716390.3 7067856.2, 716403.4 7067868.2, 716408.8 7067873.9, 716412 7067877.3, 716423.5 7067894.1, 716434.7 7067907.1, 716453.4 7067921, 716498 7067954, 716517.9 7067968.6, 716540.8 7067985.4, 716557.1 7067994.7, 716613.9 7068014.6, 716641 7068022, 716664.8 7068027.8, 716669.4 7068028.9, 716755.4 7068048.5, 716761.3 7068048.7, 716765.9 7068047.5, 716770.4 7068044.8, 716776.9 7068036.4, 716792.1 7068015.5, 716803.2 7067991.1, 716814.5 7067963, 716934.1 7067748.9, 716950.1 7067725.1))",59
59648,596480203,"POLYGON ((702708.3 7054871.6, 702700.8 7054862.7, 702720.0020455495 7054755.615463053, 702804.3 7054658.6, 702810.9 7054655.9, 702806.7 7054646.5, 702716.45 7054464.85, 702700.3069196434 7054337.52197503, 702729.4 7054247, 702869.3 7054149.9, 702892.4 7054114.7, 702874 7054104.1, 702673.8 7053984.2, 702427.3 7054017.1, 702410 7054022.5, 702401.3 7054023.6, 702396.4 7054023.8, 702392.1 7054023.4, 702389.1 7054022.9, 702386 7054022.3, 702387.7 7054025.6, 702389.1 7054028.9, 702389.6 7054032.8, 702411.425 7054210.600000001, 702428.5 7054456.8, 702422.2 7054516.1, 702421.8 7054523.3, 702421.7 7054532.2, 702421.7 7054543.2, 702422.1 7054553.6, 702423.7 7054566.6, 702430.8 7054606.6, 702484.2 7054862.3, 702494 7054889.4, 702496.9 7054897.2, 702513.7 7054942, 702524.5 7054937, 702708.3 7054871.6))",59
59350,593500711,"POLYGON ((704417.2 7057694.3, 704420.9 7057686, 704425.7 7057673.2, 704431.2 7057657, 704442.3 7057622.4, 704442.4 7057598.3, 704441.6 7057569.8, 704440.3 7057517.2, 704439.7 7057489, 704439.6 7057481.8, 704404.7 7057312.4, 704394.9 7057283.6, 704378.2 7057234.4, 704327.1 7057084.2, 704305.2 7057018.8, 704303.5 7057019.6, 704246.3 7057101, 704204 7057195.4, 704101.95 7057310.449999999, 703959.1 7057328.1, 703777.8 7057248.1, 703777.4 7057248.3, 703771 7057254.2, 703770.2 7057255, 703768.5 7057257.2, 703763.7 7057264.3, 703623.9792612862 7057370.290945615, 703378 7057413.5, 703371.2 7057414.8, 703374.2 7057422.1, 703395.6 7057473.95, 703413.2 7057516.2, 703421.7 7057536.9, 703426.9 7057551.8, 703434.2 7057572.8, 703435.3 7057578.9, 703435.8 7057582.8, 703435.2 7057596.5, 703434.3 7057613.3, 703425.4 7057695.2, 703424.9 7057699.8, 703423.6 7057710.7, 703421.8 7057723.9, 703421.3 7057727.3, 703420.3 7057735.2, 703418.5 7057748.7, 703418 7057754.8, 703418.1 7057763.8, 703419.1 7057769.2, 703420.4 7057773.6, 703423.6 7057774.1, 703536.9 7057782.3, 703559.9 7057783.9, 703583.6 7057785.5, 703637.2 7057788.8, 703674.1 7057790.6, 703708.6 7057791.9, 703738.4 7057792.2, 703768.5 7057792, 703797.2 7057791.4, 703823.8 7057790, 703847 7057788.4, 703876.1 7057785.9, 703905.1 7057782.9, 703939.6 7057778.4, 703988.9 7057770.8, 704039 7057762, 704113.2 7057748.6, 704214.4 7057729.7, 704329.9 7057708.3, 704393 7057697.9, 704399.8 7057696.8, 704412 7057695, 704417.2 7057694.3))",59
59553,595530101,"POLYGON ((698459.5 7054092.7, 698463.2 7053992.2, 698465.8500000001 7053851.55, 698464.7 7053755.8, 698458 7053646.7, 698432.2 7053446.4, 698421.2 7053402.7, 698399.8 7053361.6, 698334.3 7053260.8, 698257.3 7053155.4, 698213.9 7053099.9, 698176.6 7053052.4, 698084.9 7052945.1, 697983.6 7052843.8, 697829.2 7052706.2, 697736.9 7052616.6, 697699.7 7052572.8, 697672.7 7052607.2, 697516 7052724.8, 697397 7052866.1, 697396.6 7052898.2, 697381.2 7052972.7, 697367.6 7053031.3, 697362 7053054.5, 697353.4 7053080.1, 697320.2 7053151.3, 697106.7 7053117.4, 697084.3 7053133.2, 697023.3 7053192.2, 696997 7053221.9, 696989.5 7053231.6, 696984.5 7053241.2, 696981.8 7053247.5, 696980 7053255.6, 696971.9 7053310.9, 696963.4 7053378, 696963.3 7053390.9, 696966 7053396.5, 697008.7 7053403.35, 697049.2 7053408.9, 697068.1 7053412.4, 697078.4 7053416.7, 697083.8 7053419.8, 697088.9 7053424.4, 697094.9 7053434.3, 697104.2 7053505.8, 697117.2 7053628.3, 697096.7 7053680.8, 696974.6 7053844.9, 696930.75 7054002.25, 696906.8 7054134.1, 696865.2 7054214.7, 696834.5 7054261.6, 696702.3 7054152.3, 696569.9 7054042.8, 696411.4 7053962.2, 696395.9 7053971.1, 696383.3 7053978.3, 696267.2 7054048, 696121.9 7054246.3, 696099.6 7054424.8, 696163.2 7054488.9, 696187.8 7054517, 696200.4 7054535.5, 696202.1 7054538, 696220.5 7054568.3, 696267.4 7054648.5, 696276 7054664.1, 696281.4 7054674.4, 696286.2 7054689, 696289.4 7054700.4, 696291 7054711.8, 696293 7054731.8, 696292.8 7054737.5, 696292.6 7054742.9, 696291.5 7054754.2, 696289.1 7054771.7, 696281.2 7054781.5, 695986 7054930.1, 695878.55 7054969.75, 695615.106121761 7055056.863949061, 695314 7055264.7, 695238.35 7055378.85, 695148.9 7055494, 695110.8 7055476.8, 695016.2 7055687.6, 694969.9 7055741.5, 694944.8 7055807.8, 694968.2 7055825.3, 694982.7 7055835.2, 695054.1 7055881.2, 695068.8 7055888.7, 695082.7 7055891.6, 695249.7 7055910.2, 695348 7055914, 695442.1 7055909.2, 695475.6 7055907.4, 695483.1 7055906.5, 695489.1 7055904.7, 695491.9 7055899.7, 695503.1 7055889.2, 695554 7055876.2, 695583.9 7055871.6, 695678.45 7055870.800000001, 695728.8 7055870.8, 695738.4 7055871.2, 695745.1 7055873, 695841.4 7055914.65, 695917.9 7055969.65, 696123.6 7055997.1, 696262.5 7055976.8, 696352.1 7055964.7, 696398.95 7055969.050000001, 696485.4 7055980.3, 696517.2 7055987.8, 696546.9 7055996.4, 696569.5 7056005.3, 696575.5 7056008.5, 696820.9 7056084.7, 697034.6 7056150.9, 697357.7 7056187.5, 697385.1 7056194.9, 697384.4 7056193.7, 697382.9 7056190.5, 697365.2 7056139.4, 697360.9 7056126.4, 697356.3 7056108.1, 697354.8 7056100.2, 697354.6 7056091.9, 697355 7056083.2, 697356 7056074.5, 697357.3 7056064.4, 697392.8 7055822.2, 697411.1 7055737.4, 697402.9136835148 7055552.859686919, 697376.3 7055383, 697257.8500000001 7055330.9, 697162.9 7055255.2, 697128.5 7055164.1, 697200.7 7055045.9, 697288.7 7054919.6, 697426.7 7054771.4, 697581 7054548.9, 697627.4 7054480, 697658.8 7054410.9, 697675.5 7054363.4, 697686.2 7054335.7, 697691.1 7054327.5, 697697.4 7054319.1, 697701.4 7054314.8, 697705.5 7054311.3, 697710.3 7054307.7, 697831.3 7054239.7, 697902.2 7054220.6, 697976.9 7054311.1, 698020.7 7054364.8, 698065.7 7054422.1, 698078 7054439.9, 698092.9 7054464.1, 698106.3 7054488.2, 698116.3 7054506.2, 698128.7 7054534.9, 698138.5 7054561.1, 698148.7 7054593.8, 698154.5 7054615.9, 698155.2 7054622.8, 698267.580291115 7054661.176461339, 698397.6 7054682.4, 698454.2 7054662.7, 698452.1 7054632.1, 698456.2 7054334.8, 698460.7 7054179.9, 698460.7 7054141.8, 698459.5 7054092.7))",59
59328,593280501,"POLYGON ((701656.6 7060114.1, 701651.2 7060118.4, 701605.2 7060154.4, 701552.2 7060192.9, 701517.2 7060217.8, 701512.9 7060220.5, 701502.8 7060226.8, 701488.2 7060235.6, 701452.45 7060256.6, 701319 7060430.8, 701309.4 7060452.3, 701306.5 7060458.5, 701302.5 7060467.5, 701296.7 7060477.9, 701274.4 7060512.6, 701253.1 7060538.7, 701228.7 7060568.2, 701326.1 7060659.9, 701499.7 7060823.4, 701581.5 7060904.1, 701602.4 7060898, 701696.8 7060871.3, 701706.2 7060868.8, 701706.6 7060838.2, 701704.2 7060733.2, 701702.7 7060660.9, 701727.7 7060597.5, 701769.3 7060561.9, 701802 7060534.9, 701880.3 7060487.3, 701905 7060461.5, 701931.2 7060431.5, 701960.2 7060396.1, 701983.2 7060366.2, 701772.1 7060197.1, 701710.9 7060151.2, 701679.5 7060128.7, 701666.8 7060120.6, 701656.6 7060114.1))",59
59017,590170303,"POLYGON ((691807.1 7065296.2, 691826.9 7065325.2, 691912.5 7065464.5, 691923.0749111346 7065604.977020981, 691907.3 7065727.9, 691905.8 7065739.3, 691916.2 7065739.5, 692107.5 7065786.1, 692218.5 7065824.5, 692221.2 7065825, 692225 7065819.4, 692227.8 7065811.3, 692273.4 7065542.3, 692237.5 7065393.3, 692264.3 7065347.9, 692256.2 7065343.9, 692217.9 7065313.3, 692131 7065234.3, 692106.3 7065211.6, 692092.1 7065198.7, 691978.6 7065100.7, 691976.7 7065099.1, 691956.9 7065083.9, 691949.7 7065079.2, 691949.5 7065079.6, 691919.7 7065159.2, 691897.6 7065223.3, 691818.9 7065288.9, 691807.1 7065296.2))",59
59350,593500710,"POLYGON ((704442.4 7057598.3, 704459.6 7057592, 704661.3 7057517.2, 704743.2 7057485.8, 704851.1 7057443.5, 704919.5 7057416, 705081.9 7057350.7, 705112.9 7057337.8, 705133.6 7057329.1, 705172.9 7057311.7, 705218.8 7057290.4, 705436.8 7057184.2, 705438 7057183.6, 705433.2 7057177.2, 705396.7 7057128, 705346.3 7057059.7, 705337.4 7057047.6, 705256.35 7056925.449999999, 705170.2 7056794.7, 705154.2 7056773.4, 705101.5 7056704.5, 705091.6 7056691.6, 705066 7056658.3, 705055.3 7056644.5, 705042.3 7056658, 705035.9 7056664.5, 705007.8 7056693.3, 704971.5 7056733, 704936.6 7056772.8, 704906.8 7056810.1, 704862.3 7056868.2, 704717.225 7056994.600000001, 704469.2 7057206.8, 704409.4 7057270.4, 704394.9 7057283.6, 704404.7 7057312.4, 704439.6 7057481.8, 704439.7 7057489, 704440.3 7057517.2, 704441.6 7057569.8, 704442.4 7057598.3))",59
59350,593502601,"POLYGON ((707602.3 7059732.8, 707634.5 7059744.8, 707663 7059754.9, 707856.1 7059814.6, 707931.1 7059832.2, 707951.9 7059835.7, 707961.7 7059836.8, 707969.1 7059836.9, 707976.8 7059836.6, 707993.7 7059834.7, 708120.7 7059807.9, 708135.1 7059805.5, 708140.7 7059806.8, 708141 7059803.9, 708141.6 7059796.5, 708141.3 7059792.4, 708139.5 7059786.7, 708104.4 7059681.3, 708100.6 7059670.3, 708095.2 7059654.9, 708067.9 7059652.6, 708049.3 7059651.2, 708030.6 7059650.3, 708003.9 7059649.7, 707978.3 7059649.2, 707919.7 7059648, 707907.7 7059647.6, 707879.7 7059646.5, 707856.5 7059461.7, 707848.9 7059395.7, 707837.9 7059277.2, 707833.6 7059247, 707831.5 7059241.9, 707820.5 7059217.1, 707660.5 7059305.9, 707652.1 7059311.9, 707612.6 7059364.2, 707579.7 7059407.9, 707504.2 7059510.9, 707492.9 7059528.2, 707478.7 7059557.9, 707426.2 7059688.7, 707469.6 7059704, 707532.5 7059711.5, 707546.8 7059713.3, 707546.9 7059712.8, 707578.2 7059723.8, 707602.3 7059732.8))",59
59599,595991001,"POLYGON ((710694.8 7070540.7, 710660.3 7070497.7, 710465.1 7070212.4, 710446.9 7070183.5, 710441.6 7070175.2, 710440.5 7070176.1, 710430.2 7070184.7, 710389.85 7070211.6, 710345.5 7070237.7, 710336.4 7070243, 710333.2 7070244.8, 710329.8 7070246.6, 710326.3 7070248.4, 710322.5 7070250.1, 710313.9 7070253.9, 710157.55 7070322.45, 710009.7 7070375.05, 709993.6 7070378.3, 709987.7 7070379.6, 709984.1 7070380.5, 709973.8 7070383.6, 709970.9 7070384.5, 709914.5 7070406.7, 709903.8 7070411.7, 709897.6 7070417.9, 709895.5 7070422.9, 709894.9 7070430.7, 709899.4 7070434.9, 709933.4 7070470.3, 709951.2 7070489.9, 710087 7070639.5, 710225.7 7070794.9, 710240.9 7070812, 710282.5 7070790.8, 710427.6 7070714, 710449.1 7070701.8, 710483 7070680.6, 710628.4 7070588.5, 710655 7070571.6, 710664.8 7070564.2, 710682.7 7070550.6, 710694.8 7070540.7))",59
59350,593500402,"POLYGON ((703066.3 7058547, 703086.9 7058567.4, 703152.3 7058627.2, 703166 7058638.5, 703177.5 7058648.4, 703185.8 7058642, 703509.9 7058720.7, 703515.9 7058723.5, 703536.1 7058731.1, 703541.1 7058732.9, 703570.7 7058637.2, 703583.55 7058594, 703598.6 7058543.3, 703614.7 7058457, 703598.2 7058454.7, 703593.7 7058453.8, 703588 7058452.5, 703605.1 7058397.7, 703594.3 7058392.9, 703575.9 7058386.3, 703317.4 7058354.7, 703245 7058318.1, 703212.1 7058359.5, 703172.3 7058410, 703170.9 7058411.8, 703114.2 7058484.8, 703066.3 7058547))",59
