MP2,ECH,ANNE,M5,M14,M20,M21,COEM,ML2B,ML24,menage_id_constr,household_id
1010,0087,20160122,0,0,1,0.0,41.84241,1.0,3,10100087,79
1010,0114,20160322,0,0,0,,53.82657,1.0,3,10100114,80
1010,0005,20160119,1,0,0,,41.84241,2.0,4,10100005,81
1010,0070,20151215,0,0,0,,53.82657,,3,10100070,82
1010,0073,20160309,1,0,0,,53.82657,1.0,4,10100073,83
1010,0010,20160116,2,0,0,,41.84241,1.0,2,10100010,84
1010,0562,20160205,1,0,0,,41.84241,3.0,4,10100562,85
1018,0004,20160121,0,0,0,,66.79166,1.0,3,10180004,86
1018,0009,20151204,0,0,0,,66.79166,1.0,3,10180009,87
1018,0018,20160121,0,0,0,,66.79166,1.0,3,10180018,88
1018,0033,20151202,0,0,0,,66.79166,1.0,3,10180033,89
1018,0037,20151203,0,0,0,,66.79166,1.0,3,10180037,90
1018,0043,20151209,1,0,1,0.0,53.82657,1.0,3,10180043,91
1018,0044,20160105,0,0,0,,53.82657,1.0,3,10180044,92
1018,0047,20160116,0,0,0,,41.84241,1.0,3,10180047,93
1018,0049,20160205,0,0,0,,53.82657,1.0,3,10180049,94
1018,0050,20151219,0,0,0,,66.79166,1.0,3,10180050,95
1018,0056,20151208,0,0,0,,53.82657,1.0,4,10180056,96
1018,0065,20160308,0,0,0,,66.79166,1.0,4,10180065,97
1018,0069,20160113,0,0,0,,66.79166,1.0,3,10180069,98
1018,0072,20160205,0,0,0,,53.82657,1.0,3,10180072,99
1018,0077,20160109,0,0,0,,66.79166,3.0,3,10180077,100
1018,0088,20160227,1,0,0,,36.55035,3.0,3,10180088,101
1018,0090,20160302,0,0,0,,66.79166,1.0,4,10180090,102
1018,0094,20160325,0,0,0,,66.79166,1.0,3,10180094,103
1018,0099,20160325,0,0,0,,66.79166,1.0,3,10180099,104
1018,0102,20160226,0,0,0,,66.79166,1.0,3,10180102,105
1018,0109,20160226,0,0,0,,66.79166,2.0,3,10180109,106
1018,0117,20160205,0,0,0,,66.79166,1.0,4,10180117,107
1018,0128,20160303,0,0,0,,66.79166,1.0,3,10180128,108
1018,0129,20160227,1,0,1,0.0,53.82657,3.0,3,10180129,109
1018,0134,20160301,2,0,0,,41.84241,1.0,4,10180134,110
1018,0138,20160303,0,0,0,,66.79166,1.0,3,10180138,111
1018,0139,20160316,0,0,0,,66.79166,1.0,3,10180139,112
1018,0151,20160316,0,0,0,,66.79166,1.0,3,10180151,113
1020,0028,20160115,0,0,0,,82.07269000000001,2.0,3,10200028,114
1020,0052,20160205,0,0,0,,82.07269000000001,2.0,3,10200052,115
1020,0055,20160205,0,0,0,,82.07269000000001,2.0,3,10200055,116
1020,0518,20151210,2,0,0,,82.07269000000001,1.0,3,10200518,117
1020,0024,20151202,1,0,1,0.0,102.896,1.0,2,10200024,118
1020,0033,20160130,1,0,1,0.0,82.07269000000001,1.0,3,10200033,119
1020,0084,20160127,0,0,0,,102.896,1.0,3,10200084,120
1020,0108,20160315,0,0,0,,82.07269000000001,1.0,3,10200108,121
1020,0119,20160224,0,0,0,,82.07269000000001,1.0,3,10200119,122
